PARK,BOROUGH,SIZE.ACRES,MURDER,RAPE,ROBBERY,FELONY.ASSAULT,BURGLARY,GRAND.LARCENY,GRAND.LARCENY.OF.MV,TOTAL_CRIME,YEAR,MON_STAR,MON_END
PELHAM BAY PARK,BRONX        ,2771.747,0,0,0,0,1,1,0,2,2014,Jan,March
VAN CORTLANDT PARK,BRONX        ,1146.43,0,0,2,3,3,3,0,11,2014,Jan,March
ROCKAWAY BEACH AND BOARDWALK,QUEENS       ,1072.564,0,0,2,2,0,8,0,12,2014,Jan,March
FRESHKILLS PARK,STATEN ISLAND,913.32,0,0,0,0,0,0,0,0,2014,Jan,March
FLUSHING MEADOWS CORONA PARK,QUEENS       ,897.69,0,0,2,4,4,21,2,33,2014,Jan,March
LATOURETTE PARK & GOLF COURSE,STATEN ISLAND,843.97,0,0,0,0,1,0,0,1,2014,Jan,March
MARINE PARK,BROOKLYN     ,798,0,0,0,0,0,1,0,1,2014,Jan,March
BELT PARKWAY/SHORE PARKWAY,BROOKLYN,760.43,0,0,0,0,0,0,0,0,2014,Jan,March
BRONX PARK,BRONX        ,718.373,0,0,1,0,0,2,0,3,2014,Jan,March
FRANKLIN D. ROOSEVELT BOARDWALK AND BEACH,STATEN ISLAND,644.35,0,0,0,0,0,1,0,1,2014,Jan,March
ALLEY POND PARK,QUEENS       ,635.514,0,0,0,0,0,0,0,0,2014,Jan,March
PROSPECT PARK,BROOKLYN     ,526.25,0,0,2,1,0,2,0,5,2014,Jan,March
FOREST PARK,QUEENS       ,506.86,0,0,3,1,0,3,0,7,2014,Jan,March
GRAND CENTRAL PARKWAY,QUEENS       ,460.16,0,0,0,0,0,0,0,0,2014,Jan,March
FERRY POINT PARK,BRONX        ,413.8,0,0,0,1,0,1,0,2,2014,Jan,March
CONEY ISLAND BEACH & BOARDWALK,BROOKLYN     ,399.203,0,3,2,1,0,8,0,14,2014,Jan,March
CUNNINGHAM PARK,QUEENS       ,358,0,0,0,0,0,2,0,2,2014,Jan,March
RICHMOND PARKWAY,STATEN ISLAND,350.983,0,0,0,0,0,0,0,0,2014,Jan,March
CROSS ISLAND PARKWAY,QUEENS       ,326.895,0,0,0,0,0,0,0,0,2014,Jan,March
GREAT KILLS PARK,STATEN ISLAND,315.094,0,0,0,0,0,0,0,0,2014,Jan,March
WOLFE'S POND PARK,STATEN ISLAND,302.693,0,0,0,0,0,0,0,0,2014,Jan,March
CONFERENCE HOUSE PARK,STATEN ISLAND,286.382,0,0,0,0,0,0,0,0,2014,Jan,March
RANDALL'S ISLAND PARK,MANHATTAN    ,256.111,0,0,0,0,1,15,0,16,2014,Jan,March
ROCKAWAY COMMUNITY PARK,QUEENS       ,255.4,0,0,0,0,0,0,0,0,2014,Jan,March
KISSENA PARK,QUEENS       ,237.147,0,0,0,0,0,1,0,1,2014,Jan,March
RIVERSIDE PARK,MANHATTAN    ,235.765,0,0,3,0,1,16,0,20,2014,Jan,March
HUTCHINSON RIVER PARKWAY,BRONX        ,229.14,0,0,0,0,0,0,0,0,2014,Jan,March
BLUE HERON PARK,STATEN ISLAND,217.45,0,0,0,0,0,0,0,0,2014,Jan,March
DYKER BEACH PARK,BROOKLYN     ,216.655,0,0,0,0,0,0,0,0,2014,Jan,March
WILLOWBROOK PARK,STATEN ISLAND,214.947,0,0,0,0,0,0,0,0,2014,Jan,March
STATEN ISLAND INDUSTRIAL PARK,STATEN ISLAND,210.928,0,0,0,0,0,0,0,0,2014,Jan,March
SILVER LAKE PARK,STATEN ISLAND,205.977,0,0,0,0,0,0,0,0,2014,Jan,March
BRONX RIVER PARKWAY,BRONX        ,205.647,0,0,0,0,0,0,0,0,2014,Jan,March
SOUNDVIEW PARK,BRONX        ,205.31,0,1,0,0,0,1,0,2,2014,Jan,March
BELT PARKWAY,QUEENS       ,202.647,0,0,0,0,0,0,0,0,2014,Jan,March
WILLOWBROOK PARKWAY,STATEN ISLAND,198.481,0,0,0,0,0,0,0,0,2014,Jan,March
INWOOD HILL PARK,MANHATTAN    ,196.398,0,0,1,0,0,0,0,1,2014,Jan,March
CLOVE LAKES PARK,STATEN ISLAND,193.423,0,0,0,0,0,0,0,0,2014,Jan,March
FORT WASHINGTON PARK,MANHATTAN    ,184.143,0,0,0,0,0,0,0,0,2014,Jan,March
IDLEWILD PARK,QUEENS       ,180.85,0,0,0,0,0,0,0,0,2014,Jan,March
WARDS ISLAND PARK,MANHATTAN    ,176.581,0,0,0,0,0,0,0,0,2014,Jan,March
SOUTH SHORE COUNTRY CLUB,STATEN ISLAND,173.994,0,0,0,0,0,0,0,0,2014,Jan,March
SAW MILL CREEK MARSH,STATEN ISLAND,171.778,0,0,0,0,0,0,0,0,2014,Jan,March
BLOOD ROOT VALLEY,STATEN ISLAND,161.242,0,0,0,0,0,0,0,0,2014,Jan,March
JAMAICA BAY PARK,QUEENS       ,149.54,0,0,0,0,0,0,0,0,2014,Jan,March
KISSENA CORRIDOR PARK,QUEENS       ,146.81,0,0,0,0,0,0,0,0,2014,Jan,March
HIGHLAND PARK,BROOKLYN,146.339,0,0,2,0,0,0,0,2,2014,Jan,March
ARDEN WOODS,STATEN ISLAND,145.864,0,0,0,0,0,0,0,0,2014,Jan,March
RIVERDALE PARK,BRONX        ,144.29,0,0,0,0,0,0,0,0,2014,Jan,March
OCEAN PARKWAY MALLS,BROOKLYN     ,140,0,0,0,0,0,0,0,0,2014,Jan,March
BLOOMINGDALE PARK,STATEN ISLAND,138.1,0,0,0,0,0,0,0,0,2014,Jan,March
OCEAN BREEZE PARK,STATEN ISLAND,136.568,0,0,0,0,0,0,0,0,2014,Jan,March
CANARSIE PARK,BROOKLYN     ,132.2,0,0,0,0,0,0,0,0,2014,Jan,March
HIGHBRIDGE PARK MANHATTAN SIDE,MANHATTAN    ,130.1,0,0,2,2,0,1,0,5,2014,Jan,March
CROTONA PARK,BRONX        ,127.5,0,0,3,0,1,5,1,10,2014,Jan,March
PAERDEGAT BASIN PARK,BROOKLYN     ,118.795,0,0,0,0,0,0,0,0,2014,Jan,March
HOOK CREEK PARK,QUEENS       ,111.163,0,0,0,0,0,0,0,0,2014,Jan,March
CRESCENT BEACH PARK,STATEN ISLAND,110.96,0,0,0,0,0,0,0,0,2014,Jan,March
CLEARVIEW PARK GOLF COURSE,QUEENS       ,110.93,0,0,0,0,0,0,0,0,2014,Jan,March
BAISLEY POND PARK,QUEENS       ,109.609,0,0,0,0,0,1,0,1,2014,Jan,March
PELHAM PARKWAY,BRONX        ,108.91,0,0,0,0,0,0,0,0,2014,Jan,March
PRALLS ISLAND,STATEN ISLAND,107.514,0,0,0,0,0,0,0,0,2014,Jan,March
MARINERS MARSH PARK,STATEN ISLAND,107.2,0,0,0,0,0,0,0,0,2014,Jan,March
DOUGLASTON PARK GOLF COURSE,QUEENS       ,104.6,0,0,0,0,0,0,0,0,2014,Jan,March
LEMON CREEK PARK,STATEN ISLAND,104.545,0,0,0,0,0,0,0,0,2014,Jan,March
SPRING CREEK PARK,BROOKLYN,99.566,0,0,0,0,0,0,0,0,2014,Jan,March
HIGH ROCK PARK,STATEN ISLAND,94.1,0,0,0,0,0,0,0,0,2014,Jan,March
LONG POND PARK,STATEN ISLAND,91.948,0,0,0,0,0,0,0,0,2014,Jan,March
BROOKVILLE PARK,QUEENS       ,89.946,0,0,1,0,0,0,0,1,2014,Jan,March
ISLE OF MEADOWS,STATEN ISLAND,87.516,0,0,0,0,0,0,0,0,2014,Jan,March
CALVERT VAUX PARK,BROOKLYN     ,85.527,0,0,1,0,0,3,0,4,2014,Jan,March
PUGSLEY CREEK PARK,BRONX        ,83.615,0,0,1,1,0,0,0,2,2014,Jan,March
SNUG HARBOR CULTURAL CENTER,STATEN ISLAND,83.3,0,0,0,0,0,0,0,0,2014,Jan,March
MOSHOLU PARKWAY,BRONX        ,80.936,0,0,1,0,0,0,0,1,2014,Jan,March
MCGUIRE FIELDS,BROOKLYN     ,77.181,0,0,0,0,0,0,0,0,2014,Jan,March
FRESH CREEK NATURE PRESERVE,BROOKLYN     ,77.044,0,0,0,0,0,0,0,0,2014,Jan,March
JACKIE ROBINSON PARKWAY,BROOKLYN,72.75,0,0,0,0,0,0,0,0,2014,Jan,March
FORT TRYON PARK,MANHATTAN    ,67.213,0,0,3,0,0,1,0,4,2014,Jan,March
RIVERSIDE PARK SOUTH,MANHATTAN    ,66.693,0,0,0,0,0,0,0,0,2014,Jan,March
EASTERN PARKWAY,BROOKLYN     ,65.7,0,0,0,0,0,0,0,0,2014,Jan,March
FOUR SPARROW MARSH,BROOKLYN     ,64.665,0,0,0,0,0,0,0,0,2014,Jan,March
FORT TOTTEN PARK,QUEENS       ,60.394,0,0,0,0,0,0,0,0,2014,Jan,March
ASTORIA PARK,QUEENS       ,59.956,0,0,0,0,0,1,0,1,2014,Jan,March
